tweet,is_retweet,retweeted,mentioned,hashtags,clean_tweet
"RT @TheLeadCNN: GOP Rep. Michael Turner says that the debate from right-wing members resistant to helping Ukraine fight Russia is ""very dis…",True,['@TheLeadCNN'],[],[], gop rep michael turner say debat right wing member resist help ukrain fight russia di 
"RT @CBSNews: Russia is continuing to build up a military presence along the border of Ukraine and as they conduct training exercises, the U…",True,['@CBSNews'],[],[], russia continu build militari presenc along border ukrain conduct train exercis u 
"#Ukraine 
USA President:  Invasion is now CERTAIN.
 Anyone seen Boris J?  Ukrainians are execting him...",False,[],[],['#Ukraine'], ukrain usa presid invas certain anyon seen bori j ukrainian exect 
"RT @Resister2022: Tucker Carlson: “Why is it disloyal to side with Russia but loyal to side with Ukraine…. kinda strange.”

Stephen Colbert…",True,['@Resister2022'],[],[], tucker carlson disloy side russia loyal side ukrain kinda strang stephen colbert 
@SpecialReport No troops to Ukraine. Ukrainians should take care of their border. Until our borders are secure we h… https://t.co/X73Ru4Voot,False,[],['@SpecialReport'],[], troop ukrain ukrainian take care border border secur h 
"RT @NovkovJulie: If you'd like to know more about the Russia/Ukraine crisis, please come to our panel on Friday! Three great  @ualbany expe…",True,['@NovkovJulie'],['@ualbany'],[], like know russia ukrain crisi pleas come panel friday three great exp 
RT @MSNBC: Is Russia really looking to invade Ukraine? An expert explains. https://t.co/EFn0dSdnMb,True,['@MSNBC'],[],[], russia realli look invad ukrain expert explain 
"RT @Meghann_MT: Troops put on alert for possible Ukraine deployment include elements of @82ndABNDiv, @18airbornecorps, @4thInfDiv, @2INFDIV…",True,['@Meghann_MT'],[],[], troop put alert possibl ukrain deploy includ element ndabndiv airbornecorp thinfdiv infdiv 
"JUST IN: Russia, Ukraine Agree to Uphold Donbas Ceasefire in ""Tough"" Negotiation That Excluded Biden and the US… https://t.co/BNpXHiPPNp",False,[],[],[],russia ukrain agre uphold donba ceasefir tough negoti exclud biden us 
RT @spaceeong: drop chief keef on the russia ukraine border shit would be handled in a few hours,True,['@spaceeong'],[],[], drop chief keef russia ukrain border shit would handl hour
"RT @OlgaNYC1211: Warned this was going to go past the borders of Ukraine.
Russia is now “demanding” the withdrawals of all foreign forces f…",True,['@OlgaNYC1211'],[],[], warn go go past border ukrain russia demand withdraw foreign forc f 
"RT @Resister2022: Tucker Carlson: “Why is it disloyal to side with Russia but loyal to side with Ukraine…. kinda strange.”

Stephen Colbert…",True,['@Resister2022'],[],[], tucker carlson disloy side russia loyal side ukrain kinda strang stephen colbert 
RT @JMichaelWaller: Nice hacking job. UVB-76 is a military command station for Russia's Western Military District that includes the border…,True,['@JMichaelWaller'],[],[], nice hack job uvb  militari command station russia western militari district includ border 
RT @emilyhorne46: This is not true. President Biden said that there is a distinct possibility that the Russians could invade Ukraine in Feb…,True,['@emilyhorne46'],[],[], true presid biden said distinct possibl russian could invad ukrain feb 
If Russia invades Ukraine the Ukrainian government should simply pull out an uno reverse card.,False,[],[],[],russia invad ukrain ukrainian govern simpli pull uno revers card 
"RT @OlgaNYC1211: Warned this was going to go past the borders of Ukraine.
Russia is now “demanding” the withdrawals of all foreign forces f…",True,['@OlgaNYC1211'],[],[], warn go go past border ukrain russia demand withdraw foreign forc f 
"RT @mrctv: Joe Biden is suddenly concerned with protecting Ukraine's border, while America's own borders remain in crisis and unprotected.…",True,['@mrctv'],[],[], joe biden suddenli concern protect ukrain border america border remain crisi unprotect 
"Andy Vermaut shares:Germany agrees to axe Nord Stream 2 if Russia invades Ukraine: submitted by  /u/l_eo_  
 [link]… https://t.co/44M0PhLodh",False,[],[],[],andi vermaut share germani agre axe nord stream  russia invad ukrain submit u l eo link 
"RT @JackPosobiec: Apparently, Biden was unaware of the talks going on this week in Paris between Germany, France, Russia, and Ukraine",True,['@JackPosobiec'],[],[], appar biden unawar talk go week pari germani franc russia ukrain
RT @theragex: 🇺🇸🇺🇦⚡🇷🇺 #Breaking: Biden told Zelensky that a Russian invasion of Ukraine is very certain and that they should prepare for th…,True,['@theragex'],[],['#Breaking'], 🇺🇸🇺🇦⚡🇷🇺 break biden told zelenski russian invas ukrain certain prepar th 
"Ukraine's President Tells Biden To ""Calm Down"" In Phone Call

https://t.co/CWA0Hn8Hha",False,[],[],[],ukrain presid tell biden calm phone call 
RT @DonaldJTrumpJr: Will it ultimately be Hunter’s lucrative and shady AF business dealings in Ukraine that gets us into a war with Russia?,True,['@DonaldJTrumpJr'],[],[], ultim hunter lucr shadi af busi deal ukrain get us war russia 
RT @24Falcon_: Why is Pelosi proposing a new bill to protect Ukraine border? What about our Southern border? Do they have secret $$ there?,True,[],[],[],rt falcon pelosi propos new bill protect ukrain border southern border secret 
"RT @Conflicts: UKRAINE: Ceasefire violations in the Donetsk region yesterday were the highest of 2022 so far, breaking the previous record…",True,['@Conflicts'],[],[], ukrain ceasefir violat donetsk region yesterday highest  far break previou record 
@CBSEveningNews @CBSNews Typical Biden! Ignoring OUR BORDER CRISIS- but preparing to send OUR troops to secure UKRA… https://t.co/aurFRGJICk,False,[],"['@CBSEveningNews', '@CBSNews']",[], typic biden ignor border crisi prepar send troop secur ukra 
"RT @StateDept: .@DeputySecState: It bears repeating, that it was Russia that invaded Ukraine in 2014 and occupies Crimea to this day. It is…",True,['@StateDept'],['@DeputySecState'],[], bear repeat russia invad ukrain  occupi crimea day 
"RT @gbrou10: OBAMA WEAPONIZED THE FEDERAL GOVERNMENT AGAINST THE AMERICAN PEOPLE AND IT ALL STARTED IN UKRAINE @cdmedia

#ObamaCrimeSpree…",True,['@gbrou10'],['@cdmedia'],['#ObamaCrimeSpree'], obama weapon feder govern american peopl start ukrain obamacrimespre 
"RT @RT_com: At a time of heightened tensions between Russia and the West, with Ukraine in the middle - Russian FM Sergey Lavrov will answer…",True,['@RT_com'],[],[], time heighten tension russia west ukrain middl russian fm sergey lavrov answer 
"RT @zerohedge: Ukraine's President Tells Biden To ""Calm Down"" In Phone Call https://t.co/rtWoYESd52",True,['@zerohedge'],[],[], ukrain presid tell biden calm phone call 
"RT @richardbranson: For business leaders, this is the moment to come together and stand up for Ukraine’s sovereignty https://t.co/5qVaHCOwg7",True,['@richardbranson'],[],[], busi leader moment come togeth stand ukrain sovereignti 
RT @mschlapp: Joe Biden wants to send American troops to assist in the defense of Ukraine's border while his administration is helping thou…,True,['@mschlapp'],[],[], joe biden want send american troop assist defens ukrain border administr help thou 
"RT @cnni: Amid growing Russia-Ukraine tensions, there has been a lot of talk about NATO -- the North Atlantic Treaty Organization. So what…",True,['@cnni'],[],[], amid grow russia ukrain tension lot talk nato north atlant treati organ 
RT @KCastigada: I wasn't aware that anti Russia warmongers were helping to recover lost historic files on Nazi-Germany crimes in order to p…,True,['@KCastigada'],[],[], awar anti russia warmong help recov lost histor file nazi germani crime order p 
RT @TheRightAva88: Since Nancy Pelosi cares about Ukraine’s border more than America’s border. VOTE HER ASS OUT!!! #Tucker,True,['@TheRightAva88'],[],['#Tucker'], sinc nanci pelosi care ukrain border america border vote ass tucker
